as_of_month,cut,alert_rate,precision,recall,alerts
2024-03-31,0.049999999999999996,0.0406,0.15763546798029557,0.5378151260504201,406
2024-03-31,0.055,0.0391,0.1636828644501279,0.5378151260504201,391
2024-03-31,0.06,0.0387,0.165374677002584,0.5378151260504201,387
2024-03-31,0.065,0.0381,0.16535433070866143,0.5294117647058824,381
2024-03-31,0.07,0.0377,0.16710875331564987,0.5294117647058824,377
2024-03-31,0.07500000000000001,0.0371,0.16711590296495957,0.5210084033613446,371
2024-03-31,0.08,0.035,0.16857142857142857,0.4957983193277311,350
2024-03-31,0.085,0.0333,0.17117117117117117,0.4789915966386555,333
2024-03-31,0.09000000000000001,0.0316,0.17721518987341772,0.47058823529411764,316
2024-03-31,0.095,0.0303,0.18151815181518152,0.46218487394957986,303
2024-03-31,0.1,0.029,0.1896551724137931,0.46218487394957986,290
2024-04-30,0.005,0.6032,0.021054376657824933,0.9477611940298507,6032
2024-04-30,0.01,0.1926,0.05088265835929388,0.7313432835820896,1926
2024-04-30,0.015,0.1059,0.07932011331444759,0.6268656716417911,1059
2024-04-30,0.02,0.0854,0.09484777517564402,0.6044776119402985,854
2024-04-30,0.025,0.0706,0.11189801699716714,0.5895522388059702,706
2024-04-30,0.030000000000000002,0.0641,0.12168486739469579,0.582089552238806,641
2024-04-30,0.034999999999999996,0.0621,0.12560386473429952,0.582089552238806,621
2024-04-30,0.04,0.0568,0.13028169014084506,0.5522388059701493,568
2024-04-30,0.045,0.0515,0.13980582524271845,0.5373134328358209,515
2024-04-30,0.049999999999999996,0.0475,0.14736842105263157,0.5223880597014925,475
2024-04-30,0.055,0.0453,0.152317880794702,0.5149253731343284,453
2024-04-30,0.06,0.0445,0.15280898876404495,0.5074626865671642,445
2024-04-30,0.065,0.0441,0.15419501133786848,0.5074626865671642,441
2024-04-30,0.07,0.0435,0.15632183908045977,0.5074626865671642,435
2024-04-30,0.07500000000000001,0.0422,0.16113744075829384,0.5074626865671642,422
2024-04-30,0.08,0.0401,0.16957605985037408,0.5074626865671642,401
2024-04-30,0.085,0.0378,0.17989417989417988,0.5074626865671642,378
2024-04-30,0.09000000000000001,0.0363,0.18732782369146006,0.5074626865671642,363
2024-04-30,0.095,0.034,0.2,0.5074626865671642,340
2024-04-30,0.1,0.0333,0.2042042042042042,0.5074626865671642,333
2024-05-31,0.005,0.6079,0.02039809179141306,0.8732394366197183,6079
2024-05-31,0.01,0.1944,0.046296296296296294,0.6338028169014085,1944
2024-05-31,0.015,0.1055,0.07393364928909953,0.5492957746478874,1055
2024-05-31,0.02,0.0844,0.08767772511848342,0.5211267605633803,844
2024-05-31,0.025,0.0667,0.11094452773613193,0.5211267605633803,667
2024-05-31,0.030000000000000002,0.0591,0.12013536379018612,0.5,591
2024-05-31,0.034999999999999996,0.056,0.12321428571428572,0.4859154929577465,560
2024-05-31,0.04,0.0501,0.12574850299401197,0.44366197183098594,501
2024-05-31,0.045,0.0449,0.1403118040089087,0.44366197183098594,449
2024-05-31,0.049999999999999996,0.0414,0.15217391304347827,0.44366197183098594,414
2024-05-31,0.055,0.0394,0.1548223350253807,0.4295774647887324,394
2024-05-31,0.06,0.0389,0.15681233933161953,0.4295774647887324,389
2024-05-31,0.065,0.0385,0.15844155844155844,0.4295774647887324,385
2024-05-31,0.07,0.0376,0.1622340425531915,0.4295774647887324,376
2024-05-31,0.07500000000000001,0.037,0.16486486486486487,0.4295774647887324,370
2024-05-31,0.08,0.0347,0.17002881844380405,0.4154929577464789,347
2024-05-31,0.085,0.0324,0.18209876543209877,0.4154929577464789,324
2024-05-31,0.09000000000000001,0.0313,0.18210862619808307,0.4014084507042254,313
2024-05-31,0.095,0.0298,0.18791946308724833,0.39436619718309857,298
2024-05-31,0.1,0.0287,0.18815331010452963,0.38028169014084506,287
2024-06-30,0.005,0.606,0.020627062706270627,0.9765625,6060
2024-06-30,0.01,0.1887,0.04822469528351881,0.7109375,1887
2024-06-30,0.015,0.1044,0.07471264367816093,0.609375,1044
2024-06-30,0.02,0.0828,0.08695652173913043,0.5625,828
2024-06-30,0.025,0.0646,0.10681114551083591,0.5390625,646
2024-06-30,0.030000000000000002,0.0575,0.12,0.5390625,575
2024-06-30,0.034999999999999996,0.0543,0.1252302025782689,0.53125,543
2024-06-30,0.04,0.049,0.1326530612244898,0.5078125,490
2024-06-30,0.045,0.0413,0.14527845036319612,0.46875,413
